attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Member Report Value Id,Khóa đại diện cho giá trị chỉ tiêu báo cáo.,Surrogate Key,false,true,draft,,PK surrogate.,,
Member Report Value Code,Mã giá trị chỉ tiêu. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.RPTVALUES.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.RPTVALUES,
Member Regulatory Report Id,FK đến lần nộp báo cáo của thành viên.,Surrogate Key,false,false,draft,FIMS.RPTVALUES.MebId,FK target: Member Regulatory Report.Member Regulatory Report Id.,,
Member Regulatory Report Code,Mã lần nộp báo cáo.,Text,false,false,draft,FIMS.RPTVALUES.MebId,Lookup pair: Member Regulatory Report.Member Regulatory Report Code. Pair with Member Regulatory Report Id.,,
Reporting Period Id,FK đến kỳ báo cáo.,Surrogate Key,false,false,draft,FIMS.RPTVALUES.PrdId,FK target: Reporting Period.Reporting Period Id.,,
Reporting Period Code,Mã kỳ báo cáo.,Text,false,false,draft,FIMS.RPTVALUES.PrdId,Lookup pair: Reporting Period.Reporting Period Code. Pair with Reporting Period Id.,,
Report Template Id,FK đến biểu mẫu báo cáo.,Surrogate Key,false,false,draft,FIMS.RPTVALUES.RptId,FK target: Report Template.Report Template Id.,,
Report Template Code,Mã biểu mẫu báo cáo.,Text,false,false,draft,FIMS.RPTVALUES.RptId,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,,
Report Sheet Code,Mã sheet báo cáo. Dữ liệu lấy từ trường ID của bảng SHEET.,Classification Value,true,false,draft,FIMS.RPTVALUES.SheetId,Scheme: FIMS_REPORT_SHEET.,,
Cell Identifier,UID ô dữ liệu trong sheet ẩn — định vị chỉ tiêu.,Text,true,false,draft,FIMS.RPTVALUES.TgtId,UID sheet ẩn — dùng để định vị chỉ tiêu trong biểu mẫu.,,
Cell Code,Mã chỉ tiêu báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.Code,,,
Fund Management Company Id,FK đến công ty QLQ gửi báo cáo (nullable — chỉ 1 trong 7 FK thành viên có giá trị).,Surrogate Key,true,false,draft,FIMS.RPTVALUES.FundId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.FundId,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Securities Company Id,FK đến công ty chứng khoán gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.SecId,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.SecId,Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Custodian Bank Id,FK đến ngân hàng lưu ký gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.BankId,FK target: Custodian Bank.Custodian Bank Id.,,
