"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Trade Date Dimension Id","trade_dt_dim_id","false","Surrogate Dimension Key","string","FK","FK tới Calendar Date Dimension theo ngày giao dịch khớp lệnh","LOOKUP cdr_dt_dim ON cdr_dt_dim.cdr_dt = securities_trade.trade_dt AND securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","lookup_date","Securities Trade","securities_trade","Trade Date","trade_dt"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Market Id Code","market_id_code","true","Classification Value","string","","Mã thị trường chứng khoán.","securities_trade.market_id_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Market Id Code","market_id_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Security Symbol Code","security_symbol_code","true","Text","string","","Mã chứng khoán.","securities_trade.security_symbol_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Security Symbol Code","security_symbol_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Currency Code","currency_code","true","Classification Value","string","","Đơn vị tiền tệ.","securities_trade.currency_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Currency Code","currency_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Board Type Code","board_tp_code","true","Classification Value","string","","Loại bảng giao dịch.","securities_trade.board_tp_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Board Type Code","board_tp_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Securities Trade Code","securities_trade_code","false","Text","string","DD","Mã giao dịch khớp — định danh grain 1 dòng/giao dịch. Số thứ tự giao dịch khớp lệnh được ghi nhận trên hệ thống Sàn trong ngày, theo từng mã chứng khoán (Trade ID / BK). BK.","securities_trade.securities_trade_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Securities Trade Code","securities_trade_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Trade Time","trade_time","true","Text","string","","Thời gian diễn ra giao dịch khớp lệnh.","securities_trade.trade_time WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Trade Time","trade_time"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Session Code","session_code","true","Classification Value","string","","Phiên giao dịch.","securities_trade.session_code WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Session Code","session_code"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution Price","execution_price","true","Currency Amount","decimal(23,2)","","Giá khớp lệnh thực tế của giao dịch.","securities_trade.execution_price WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution Price","execution_price"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution Price Versus LTP","execution_price_versus_ltp","true","Currency Amount","decimal(23,2)","","Chênh lệch giữa giá khớp lệnh và giá khớp gần nhất của mã chứng khoán.","securities_trade.execution_price_versus_ltp WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution Price Versus LTP","execution_price_versus_ltp"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution Volume","execution_vol","true","Small Counter","int","","Khối lượng khớp lệnh.","securities_trade.execution_vol WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution Volume","execution_vol"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution Value","execution_val","true","Currency Amount","decimal(23,2)","","Tổng giá trị giao dịch của lệnh khớp.","securities_trade.execution_val WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution Value","execution_val"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution Last Traded Price","execution_last_traded_price","true","Currency Amount","decimal(23,2)","","Giá khớp gần nhất của mã chứng khoán trên thị trường (Last Traded Price).","securities_trade.execution_last_traded_price WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution Last Traded Price","execution_last_traded_price"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Execution New High Low Price Indicator","execution_new_high_low_price_indicator","true","Indicator","string","","Đánh dấu nếu lệnh tạo giá khớp cao nhất hoặc thấp nhất mới trong ngày.","securities_trade.execution_new_high_low_price_ind WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Execution New High Low Price Indicator","execution_new_high_low_price_ind"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Buy Order Date","buy_order_dt","true","Date","date","","Ngày đặt lệnh mua.","securities_trade.buy_order_dt WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Buy Order Date","buy_order_dt"
"Fact HOSE Securities Trade","fct_hose_securities_trade","Buy Order Time","buy_order_time","true","Text","string","","Thời gian đặt lệnh mua.","securities_trade.buy_order_time WHERE securities_trade.src_stm_code = 'ORDERTRADE_TRADE_BOOK_HOSE'","direct","Securities Trade","securities_trade","Buy Order Time","buy_order_time"
