attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Practitioner Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Individual"" (Involved Party). Domain prefix ""Securities Practitioner"" theo HLD.",,
Practitioner Code,Mã định danh người hành nghề (tự động tăng). BK,Text,false,false,draft,NHNCK.Professionals.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.Professionals,
Full Name,Họ và tên,Text,true,false,draft,NHNCK.Professionals.FullName,"BCV: ""Full Name"" (Involved Party).",,
Birth Year,Năm sinh,Text,true,false,draft,NHNCK.Professionals.BirthYear,"Text vì là năm dạng ""1990"". Lấy từ Professionals (không có trong ProfessionalHistories).",,
Date Of Birth,Ngày sinh đầy đủ (ngày/tháng/năm),Date,true,false,draft,NHNCK.ProfessionalHistories.BirthDate,Lấy từ bản mới nhất ProfessionalHistories (ORDER BY ChangeDate DESC). Professionals chỉ có BirthYear.,,
Individual Gender Code,Giới tính,Classification Value,true,false,draft,NHNCK.ProfessionalHistories.Gender,Scheme: INDIVIDUAL_GENDER. Lấy từ bản mới nhất ProfessionalHistories.,INDIVIDUAL_GENDER,
Nationality Code,Quốc tịch,Classification Value,true,false,draft,NHNCK.ProfessionalHistories.NationalityId,Scheme: NATIONALITY. Lấy từ bản mới nhất ProfessionalHistories. Thay thế Country Code từ Professionals.CountryId (cùng ngữ nghĩa quốc tịch).,NATIONALITY,
Education Level Code,Trình độ học vấn,Classification Value,true,false,draft,NHNCK.ProfessionalHistories.EducationLevelId,Scheme: EDUCATION_LEVEL. Lấy từ bản mới nhất ProfessionalHistories. Professionals không có trường này.,EDUCATION_LEVEL,
Birth Place,Nơi sinh,Text,true,false,draft,NHNCK.ProfessionalHistories.PlaceOfBirth,Lấy từ bản mới nhất ProfessionalHistories. Professionals không có trường này.,,
Practitioner Registration Type Code,Hình thức đăng ký người hành nghề vào hệ thống,Classification Value,true,false,draft,NHNCK.ProfessionalHistories.RegistrationType,"Scheme: PRACTITIONER_REGISTRATION_TYPE. Lấy từ bản mới nhất ProfessionalHistories. Khác với Applications.RegistrationType (loại đăng ký hồ sơ CCHN).",PRACTITIONER_REGISTRATION_TYPE,
Practice Status Code,Trạng thái hành nghề,Classification Value,true,false,draft,NHNCK.ProfessionalHistories.StatusWork,Scheme: PRACTICE_STATUS. Lấy từ bản mới nhất ProfessionalHistories. 5 giá trị: 0=Chưa hành nghề; 1=Hành nghề; 2=Thu hồi cho cấp lại; 3=Thu hồi không cấp lại; 4=Hành nghề có thời hạn.,PRACTICE_STATUS,
Identity Reference Code,Mã định danh giấy tờ tùy thân (FK bảng identity riêng),Text,true,false,draft,NHNCK.Professionals.IdentityId,Bảng identity riêng không có trong scope NHNCK — lưu BK dạng Text.,,
Relationship Type Code,Loại quan hệ người hành nghề,Classification Value,true,false,draft,NHNCK.Professionals.RelationshipType,Scheme: PRACTITIONER_RELATIONSHIP_TYPE.,,
Occupation Name,Nghề nghiệp,Text,true,false,draft,NHNCK.Professionals.Occupation,Text tự do.,,
Workplace Name,Nơi làm việc,Text,true,false,draft,NHNCK.Professionals.Workplace,Text tự do.,,
Practitioner Note,Ghi chú,Text,true,false,draft,NHNCK.Professionals.Note,,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.Professionals.CreatedAt,,,
