attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Investor Trading Account Id,Khóa đại diện cho tài khoản giao dịch chứng khoán.,Surrogate Key,false,true,draft,,,,
Investor Trading Account Code,Số tài khoản (từ VSDC). BK.,Text,false,false,draft,GSGD.investor_account.account_code,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=GSGD.investor_account,
Account Name,Họ và tên nhà đầu tư.,Text,true,false,draft,GSGD.investor_account.account_name,,,
Investor Type Code,"Loại hình NĐT: 1=Cá nhân, 2=Tổ chức.",Classification Value,true,false,draft,GSGD.investor_account.investor_type,Scheme: GSGD_INVESTOR_TYPE.,GSGD_INVESTOR_TYPE,
Open Date,Ngày mở tài khoản.,Date,true,false,draft,GSGD.investor_account.open_date,,,
Close Date,Ngày đóng tài khoản.,Date,true,false,draft,GSGD.investor_account.close_date,,,
Account Status Code,"Trạng thái: 0=Đóng, 1=Mở.",Classification Value,true,false,draft,GSGD.investor_account.account_status,Scheme: GSGD_ACCOUNT_STATUS.,GSGD_ACCOUNT_STATUS,
Domestic Foreign Flag,"Trong nước/Nước ngoài: 0=Trong nước, 1=Nước ngoài.",Classification Value,true,false,draft,GSGD.investor_account.domestic_foreign_flag,Scheme: GSGD_DOMESTIC_FOREIGN_FLAG.,GSGD_DOMESTIC_FOREIGN_FLAG,
Nationality,Quốc tịch. Lưu dạng text denormalized — không có bảng lookup địa lý trong scope GSGD.,Text,true,false,draft,GSGD.investor_account.nationality,,,
Date of Birth,"Ngày tháng năm sinh/ngày thành lập DN (từ CTCK, có thể sửa).",Date,true,false,draft,GSGD.investor_account.date_of_birth,,,
Legal Representative,"Người đại diện theo pháp luật (từ CTCK, có thể sửa).",Text,true,false,draft,GSGD.investor_account.legal_representative,,,
Identity Number,Số CCCD/Số đăng ký sở hữu. Denormalized — grain = 1 tài khoản.,Text,true,false,draft,GSGD.investor_account.identity_number,,,
Identity Issue Date,Ngày cấp giấy tờ định danh.,Date,true,false,draft,GSGD.investor_account.identity_issue_date,,,
Identity Issue Place,Nơi cấp giấy tờ định danh.,Text,true,false,draft,GSGD.investor_account.identity_issue_place,,,
Contact Address,"Địa chỉ liên lạc (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,true,false,draft,GSGD.investor_account.contact_address,,,
Permanent Address,"Địa chỉ thường trú (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,true,false,draft,GSGD.investor_account.permanent_address,,,
Phone Number,"Số điện thoại (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,true,false,draft,GSGD.investor_account.phone_number,,,
Email,"Email (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,true,false,draft,GSGD.investor_account.email,,,
Bank Account Holder Name,"Tên chủ tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,true,false,draft,GSGD.investor_account.bank_account_holder_name,,,
Bank Account Number,"Số tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,true,false,draft,GSGD.investor_account.bank_account_number,,,
Bank Account Name,"Tên ngân hàng (từ CTCK, có thể sửa).",Text,true,false,draft,GSGD.investor_account.bank_account_name,,,
Margin Account Open Date,Ngày mở tài khoản ký quỹ.,Date,true,false,draft,GSGD.investor_account.margin_account_open_date,,,
Margin Service Enabled,Dịch vụ tài chính sử dụng — Ký quỹ.,Boolean,true,false,draft,GSGD.investor_account.margin_service_enabled,,,
Advance Payment Service Enabled,Dịch vụ tài chính sử dụng — Ứng trước tiền bán.,Boolean,true,false,draft,GSGD.investor_account.advance_payment_service_enabled,,,
Account Authorization Enabled,Dịch vụ tài chính sử dụng — Hợp đồng tài chính khác.,Boolean,true,false,draft,GSGD.investor_account.account_authorization_enabled,,,
Authorized Person Name,Người nhận ủy quyền (denormalized từ account_authorization).,Text,true,false,draft,GSGD.investor_account.authorized_person_name,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,,
Authorization Date,Ngày nhận ủy quyền (denormalized từ account_authorization).,Date,true,false,draft,GSGD.investor_account.authorization_date,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,,
Approval Status Code,Trạng thái phê duyệt tài khoản.,Classification Value,true,false,draft,GSGD.investor_account.approval_status,Scheme: GSGD_APPROVAL_STATUS.,GSGD_APPROVAL_STATUS,
Data Source Code,"Nguồn dữ liệu chính: VSDC, CTCK.",Classification Value,true,false,draft,GSGD.investor_account.data_source,Scheme: GSGD_DATA_SOURCE. Cần profile giá trị thực tế.,GSGD_DATA_SOURCE,
Last Modified Date,Ngày thay đổi thông tin lần cuối.,Date,true,false,draft,GSGD.investor_account.last_modified_date,,,
