kpi_id,dashboard,kpi_name,kpi_description,requirement_group,kpi_category,source_module,mart_table,mart_column,column_role,logic
K_TT_1,Dashboard Hoạt động Thanh tra >> Thống kê chung,Tổng số đoàn thanh tra,Thể hiện số lượng đoàn thanh tra đã ban hành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_1,Dashboard Hoạt động Thanh tra >> Thống kê chung,Tổng số đoàn thanh tra,Thể hiện số lượng đoàn thanh tra đã ban hành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,FILTER,YEAR <= selected year
K_TT_1,Dashboard Hoạt động Thanh tra >> Thống kê chung,Tổng số đoàn thanh tra,Thể hiện số lượng đoàn thanh tra đã ban hành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_1_SSCK,Dashboard Hoạt động Thanh tra >> Thống kê chung,Tổng số đoàn thanh tra SSCK,So sánh cùng kỳ năm trước về số đoàn thanh tra,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,(K_TT_1 − K_TT_1 [Year − 1]) / K_TT_1 [Year − 1] × 100%
K_TT_2,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đã hoàn thành,Số đoàn thanh tra đã hoàn thành xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_2,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đã hoàn thành,Số đoàn thanh tra đã hoàn thành xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,FILTER,YEAR = selected year
K_TT_2,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đã hoàn thành,Số đoàn thanh tra đã hoàn thành xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,FILTER,= Classification Code 'HOAN_THANH' via scheme TT_CASE_STATUS
K_TT_2,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đã hoàn thành,Số đoàn thanh tra đã hoàn thành xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_2_SSCK,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đã hoàn thành SSCK,So sánh cùng kỳ năm trước,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,(K_TT_2 − K_TT_2 [Year − 1]) / K_TT_2 [Year − 1] × 100%
K_TT_3,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đang thực hiện,Số đoàn thanh tra đang trong quá trình xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_3,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đang thực hiện,Số đoàn thanh tra đang trong quá trình xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Received Date Dimension Id,FILTER,YEAR <= selected year
K_TT_3,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đang thực hiện,Số đoàn thanh tra đang trong quá trình xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,FILTER,IN Classification Code ('MOI_TIEP_NHAN' 'DANG_GIAI_QUYET') via scheme TT_CASE_STATUS
K_TT_3,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đang thực hiện,Số đoàn thanh tra đang trong quá trình xử lý,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
