source_system,source_table,description,group,reason
NHNCK,CERTIFICATE_DEPARTMENTS,Liên kết phòng ban với loại chứng chỉ,Application Config,Application config.
NHNCK,CERTIFICATE_DOCUMENTS,Liên kết loại tài liệu với loại chứng chỉ,Application Config,"Application config — cấu hình quy trình, không phải instance data."
NHNCK,CERTIFICATE_NUMBER_TEMPLATES,Template sinh số chứng chỉ,Application Config,Config/template data.
NHNCK,CERTIFICATE_SPECIALIZATIONS,Liên kết chuyên môn với loại chứng chỉ,Application Config,Application config.
NHNCK,FORMS,Biểu mẫu liên quan đến quy trình cấp CCHN,Application Config,Application config.
NHNCK,LEGAL_DOCUMENTS,Văn bản pháp lý về hành nghề chứng khoán,Application Config,"Application config — tài liệu tham chiếu pháp lý, không phải instance data."
NHNCK,PROCEDURES,Thủ tục hành chính cấp CCHN,Application Config,Application config — cấu hình quy trình.
NHNCK,PROCEDURE_DOCUMENTS,Liên kết thủ tục hành chính với tài liệu yêu cầu,Application Config,Application config.
NHNCK,PROCEDURE_FORMS,Liên kết thủ tục hành chính với biểu mẫu,Application Config,Application config.
NHNCK,APPLICATION_ARCHIVES,Thông tin lưu trữ vật lý hồ sơ CCHN,Archive / Physical,Physical archive metadata — không có giá trị phân tích.
NHNCK,CERTIFICATE_ARCHIVES,Thông tin lưu trữ bản CCHN giấy,Archive / Physical,Physical archive metadata.
NHNCK,APPLICATION_GROUPS,Nhóm hồ sơ CCHN xử lý tập thể (container batch),Batch Processing,"Batch processing metadata — container tổ chức xử lý tập thể tại nguồn; thông tin quyết định đã có trên DECISIONS (Tier 1), danh sách hồ sơ đã có trên APPLICATIONS."
NHNCK,APPLICATION_GROUP_MEMBERS,Thành viên (hồ sơ) trong nhóm xử lý tập thể,Batch Processing,Batch processing metadata — danh sách hồ sơ trong nhóm; không có attribute nghiệp vụ độc lập ngoài FK và ORDER_INDEX vận hành.
NHNCK,CERTIFICATE_RECORD_GROUPS,Nhóm quyết định cấp/thu hồi/hủy chứng chỉ (container batch),Batch Processing,"Batch processing metadata — container tổ chức xử lý tập thể tại nguồn; thông tin quyết định đã có trên DECISIONS (Tier 1), danh sách CCHN đã có trên CERTIFICATE_RECORDS."
NHNCK,CERTIFICATE_RECORD_GROUP_MEMBERS,Thành viên CCHN trong nhóm quyết định batch,Batch Processing,"Batch processing metadata — danh sách CCHN trong nhóm; dữ liệu nghiệp vụ (REVOCATION_REASON, REISSUE) thuộc về CERTIFICATE_RECORDS, không phải thuộc quan hệ thành viên."
NHNCK,DIGITAL_CERTIFICATES,Chứng thư số PKI,Digital Cert,Operational/PKI data — không phải CCHN.
NHNCK,DIGITAL_CERTIFICATE_USERS,Người dùng được sử dụng chứng thư số,Digital Cert,Operational/PKI data.
NHNCK,IDENTITY_INFO_C06S,Lịch sử xác thực danh tính người hành nghề với hệ thống C06 (Bộ Công An),Isolated,"Isolated entity — không có file per-table đầy đủ, cột PROFESSIONAL_ID chỉ là suy luận từ tên bảng; thiếu thông tin cấu trúc cột để thiết kế entity. Đánh giá lại khi có nhu cầu khai thác."
