atomic_entity,atomic_table,table_type,technical_table_type,filter,mapping_type,description,ods_table
Disclosure Authorization,dscl_ahr,Fundamental,SCD4A,,regular,"Ủy quyền công bố thông tin của người đại diện CBTT cho nhà đầu tư nước ngoài. Ghi nhận bên được ủy quyền, loại quan hệ và thời hạn hiệu lực.",ods_fims_authoannounce
Discretionary Investment Account,dscr_ivsm_ac,Fundamental,SCD4A,,regular,Tài khoản đầu tư ủy thác — hợp đồng dịch vụ quản lý danh mục tài chính giữa nhà đầu tư ủy thác và công ty quản lý quỹ.,ods_fms_invesacc
Foreign Investor Securities Account,frgn_ivsr_scr_ac,Fundamental,SCD4A,,regular,Tài khoản giao dịch chứng khoán của nhà đầu tư nước ngoài tại công ty chứng khoán.,ods_fims_securitiesaccount
Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Fact Snapshot,Fact Snapshot,,regular,Danh mục sở hữu chứng khoán của nhà đầu tư nước ngoài tại từng công ty chứng khoán.,ods_fims_categoriesstock
Investor Account Relationship,ivsr_ac_rltnp,Relative,SCD2,,regular,"Quan hệ giữa 2 tài khoản nhà đầu tư trong giám sát (IP address, MAC address, chuyển tiền). Ghi nhận độ mạnh quan hệ. FK Investor Trading Account (x2) + Account Investor Group.",ods_gsgd_account_relationship
Investor Trading Account,ivsr_tdg_ac,Fundamental,SCD4A,,regular,"Tài khoản giao dịch chứng khoán của nhà đầu tư trong hệ thống GSGD. Grain: 1 dòng = 1 tài khoản (phân biệt theo account_code từ VSDC). Bao gồm cá nhân và tổ chức, trong nước và nước ngoài.",ods_gsgd_investor_account
Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Fundamental,SCD4A,,regular,Ủy quyền giao dịch chứng khoán trên tài khoản nhà đầu tư. FK Investor Trading Account.,ods_gsgd_account_authorization
Investor Trading Account Financial Service,ivsr_tdg_ac_fnc_svc,Fundamental,SCD4A,,regular,Dịch vụ tài chính đăng ký trên tài khoản giao dịch (ký quỹ / ứng trước tiền bán / HĐ tài chính khác). FK Investor Trading Account.,ods_gsgd_account_financial_service
Public Company State Capital,pblc_co_ste_cptl,Fundamental,SCD4A,,regular,Thông tin sở hữu nhà nước trong công ty đại chúng — tên đại diện nhà nước và tỷ lệ sở hữu. FK to Public Company.,ods_ids_state_capital
Stock Holder Trading Account,stk_hldr_tdg_ac,Fundamental,SCD4A,,regular,Tài khoản giao dịch chứng khoán của cổ đông tại CTCK — số tài khoản và trạng thái. FK to Stock Holder.,ods_ids_account_numbers
