attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Risk Indicator Value Id,Khóa đại diện cho giá trị chỉ tiêu rủi ro theo kỳ.,Surrogate Key,false,true,draft,,,,
Risk Indicator Value Code,Mã định danh giá trị chỉ tiêu. BK. Map từ PK bảng nguồn.,Text,false,false,draft,QLRR.risk_indicator_value.id,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=QLRR.risk_indicator_value,
Risk Indicator Id,FK đến chỉ tiêu rủi ro (hệ thống lẫn tự tạo — QLRR-P01 confirmed).,Surrogate Key,false,false,draft,QLRR.risk_indicator_value.indicator_id,"FK target: Risk Indicator.Risk Indicator Id. QLRR-P01 confirmed: indicator_id lưu FK cho cả chỉ tiêu hệ thống lẫn tự tạo trên 1 trường.",,
Risk Indicator Code,Mã chỉ tiêu rủi ro.,Text,false,false,draft,QLRR.risk_indicator_value.indicator_id,FK target: Risk Indicator.Risk Indicator Code. Pair with Risk Indicator Id.,,
Period Type Code,"Kỳ dữ liệu: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm.",Classification Value,false,false,draft,QLRR.risk_indicator_value.period_type,Scheme: RISK_PERIOD_TYPE.,RISK_PERIOD_TYPE,
Period Value,"Số thứ tự kỳ trong năm. VD: period_type=Tháng, period_date=12/03/2026 → period_value=3; period_type=Quý, period_date=12/03/2026 → period_value=1.",Small Counter,true,false,draft,QLRR.risk_indicator_value.period_value,Nullable khi period_type=Ngày (không có số thứ tự kỳ).,,
Period Year,Năm của kỳ dữ liệu.,Small Counter,false,false,draft,QLRR.risk_indicator_value.period_year,,,
Period Date,Ngày đại diện cho kỳ dữ liệu.,Date,false,false,draft,QLRR.risk_indicator_value.period_date,,,
Period Label,"Chuỗi hiển thị kỳ (VD: 2024-01, 2024-Q1, 2024).",Text,true,false,draft,QLRR.risk_indicator_value.period_label,,,
Value,Giá trị chỉ tiêu tại kỳ này.,Text,false,false,draft,QLRR.risk_indicator_value.value,Lưu dạng Text — giá trị số thập phân; parse theo Unit Code khi sử dụng.,,
Unit Code,"Đơn vị đo lường: 1=%, 2=Điểm, 3=Tỷ VND, 4=Triệu USD, 5=Hợp đồng, 6=Cổ phiếu, 7=Công ty, 8=VND, 9=Số tài khoản, 10=Đơn vị tính.",Classification Value,true,false,draft,QLRR.risk_indicator_value.unit_code,Scheme: RISK_UNIT.,RISK_UNIT,
Data Source Code,"Nguồn dữ liệu: 1=Investing, 2=Tổng cục Thống kê, 3=Ngân hàng Nhà nước, 4=Nội bộ, 5=HNX, 6=VSDC.",Classification Value,true,false,draft,QLRR.risk_indicator_value.source_code,Scheme: RISK_DATA_SOURCE.,RISK_DATA_SOURCE,
Data Origin Code,"Nguồn gốc giá trị: 1=API CSDL tập trung, 2=User chỉnh sửa.",Classification Value,false,false,draft,QLRR.risk_indicator_value.data_origin,Scheme: RISK_DATA_ORIGIN.,RISK_DATA_ORIGIN,
Cumulative Value,"Giá trị luỹ kế. [QLRR-P02 Open]: cơ sở luỹ kế chưa xác định (từ đầu năm hay từ đầu kỳ).",Text,true,false,draft,QLRR.risk_indicator_value.cumulative_value,"QLRR-P02: chưa rõ cơ sở luỹ kế — giữ dạng Text, ghi note pending. Cần data profiling để xác định ngữ nghĩa chính xác.",,
