attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Application Processing Activity Log Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. ETL Pattern Activity Log.,,
License Application Processing Activity Log Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.ApplicationLogs.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.ApplicationLogs,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,,
License Application Id,FK đến Securities Practitioner License Application,Surrogate Key,false,false,draft,NHNCK.qlnhn.ApplicationLogs.ApplicationId,"FK target: Securities Practitioner License Application.License Application Id. ""Activity of"" → Applications.",,
License Application Code,Mã hồ sơ,Text,false,false,draft,NHNCK.qlnhn.ApplicationLogs.ApplicationId,FK target: Securities Practitioner License Application.License Application Code. Pair with License Application Id.,,
Activity Status Code,Mã trạng thái tại thời điểm log,Classification Value,true,false,draft,NHNCK.qlnhn.ApplicationLogs.StatusId,Scheme: APPLICATION_STATUS.,,
Activity Performed By Officer Id,FK đến Regulatory Authority Officer — người thực hiện,Surrogate Key,true,false,draft,NHNCK.qlnhn.ApplicationLogs.UserId,FK target: Regulatory Authority Officer.Officer Id. Pattern Id + Code.,,
Activity Performed By Officer Code,Mã người thực hiện,Text,true,false,draft,NHNCK.qlnhn.ApplicationLogs.UserId,FK target: Regulatory Authority Officer.Officer Code. Pair with Activity Performed By Officer Id.,,
Activity Note,Ghi chú hoạt động,Text,true,false,draft,NHNCK.qlnhn.ApplicationLogs.Note,"Prefix ""Activity"" phân biệt với Note trên entity cha.",,
Activity Timestamp,Thời điểm hoạt động,Timestamp,true,false,draft,NHNCK.qlnhn.ApplicationLogs.CreatedAt,CreatedAt của log = thời điểm xảy ra.,,
