silver_entity,table_type,technical_table_type,filter,mapping_type,description,source_table
Disclosure Authorization,Fundamental,SCD4A,,regular,"Uy quyen cong bo thong tin cua nguoi dai dien CBTT cho nha dau tu nuoc ngoai. Ghi nhan ben duoc uy quyen, loai quan he va thoi han hieu luc.",FIMS.AUTHOANNOUNCE
Discretionary Investment Account,Fundamental,SCD4A,,regular,Tài khoản đầu tư ủy thác — hợp đồng dịch vụ quản lý danh mục tài chính giữa nhà đầu tư ủy thác và công ty quản lý quỹ.,FMS.INVESACC
Foreign Investor Securities Account,Fundamental,SCD4A,,regular,Tai khoan giao dich chung khoan cua nha dau tu nuoc ngoai tai cong ty chung khoan.,FIMS.SECURITIESACCOUNT
Foreign Investor Stock Portfolio Snapshot,Fact Snapshot,Fact Append,,regular,Danh muc so huu chung khoan cua nha dau tu nuoc ngoai tai tung cong ty chung khoan.,FIMS.CATEGORIESSTOCK
Investor Account Relationship,Relative,,,regular,"Quan he giua 2 tai khoan nha dau tu trong giam sat (IP address, MAC address, chuyen tien). Ghi nhan do manh quan he. FK Investor Trading Account (x2) + Account Investor Group.",GSGD.ACCOUNT_RELATIONSHIP
Investor Trading Account,Fundamental,SCD4A,,regular,"Tai khoan giao dich chung khoan cua nha dau tu trong he thong GSGD. Grain: 1 dong = 1 tai khoan (phan biet theo account_code tu VSDC). Bao gom ca nhan va to chuc, trong nuoc va nuoc ngoai.",GSGD.INVESTOR_ACCOUNT
Investor Trading Account Authorization,Fundamental,SCD4A,,regular,Uy quyen giao dich chung khoan tren tai khoan nha dau tu. FK Investor Trading Account.,GSGD.ACCOUNT_AUTHORIZATION
Investor Trading Account Financial Service,Fundamental,SCD4A,,regular,Dich vu tai chinh dang ky tren tai khoan giao dich (ky quy / ung truoc tien ban / HD tai chinh khac). FK Investor Trading Account.,GSGD.ACCOUNT_FINANCIAL_SERVICE
AML Enforcement Case,Fact Append,Fact Append,,regular,Hồ sơ xử lý vi phạm phòng chống rửa tiền. Ghi nhận đối tượng vi phạm và trạng thái xử lý.,THANHTRA.PCRT_HO_SO
AML Enforcement Decision,Fact Append,Fact Append,,regular,Văn bản xử lý vi phạm rửa tiền. FK → AML Enforcement Case.,THANHTRA.PCRT_VAN_BAN_XU_LY
AML Periodic Report,Fact Append,Fact Append,,regular,Báo cáo định kỳ về hoạt động phòng chống rửa tiền. Mỗi dòng = 1 lần lập báo cáo.,THANHTRA.PCRT_BAO_CAO
Anti-Corruption Report,Fact Append,Fact Append,,regular,Báo cáo tổng hợp định kỳ về hoạt động phòng chống tham nhũng. Mỗi dòng = 1 lần lập báo cáo.,THANHTRA.PCTN_BAO_CAO
Complaint Enforcement Decision,Fact Append,Fact Append,,regular,Văn bản xử lý / quyết định xử phạt từ hồ sơ đơn thư. FK → Complaint Processing Case.,THANHTRA.DT_VAN_BAN_XU_LY
Complaint Penalty Announcement,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ hồ sơ đơn thư. FK → Complaint Enforcement Decision.,THANHTRA.DT_CONG_BO_XU_PHAT
