bcv_core_object,bcv_concept,atomic_entity,table_type,status,description,source_table
Business Activity,[Business Activity] Conduct Violation,Securities Practitioner Conduct Violation,Fact Append,approved,Vi phạm pháp luật hoặc hành chính của người hành nghề chứng khoán được ghi nhận kèm quyết định xử lý. Mỗi dòng = 1 sự kiện vi phạm insert-only. FK đến Practitioner và Decision.,NHNCK.VIOLATIONS
Business Activity,[Business Activity] Business Activity,Securities Practitioner Professional Training Class Enrollment,Fundamental,approved,"Đăng ký tham gia và kết quả học tập của người hành nghề tại một khóa đào tạo chuyên môn. Ghi nhận điểm thi, kết quả đạt/không đạt và trạng thái ghi danh.",NHNCK.SPECIALIZATION_COURSE_DETAILS
Communication,[Communication] Assessment,Securities Practitioner Qualification Examination Assessment,Fundamental,approved,"Đợt thi sát hạch cấp CCHN do UBCKNN tổ chức. Ghi nhận thời gian đăng ký và thi, địa điểm, hình thức nộp hồ sơ, quyết định công nhận kết quả và phí thi.",NHNCK.EXAM_SESSIONS
Communication,[Communication] Assessment,Securities Practitioner Qualification Examination Assessment Result,Fundamental,approved,"Kết quả thi sát hạch của từng thí sinh trong một đợt thi. Ghi nhận điểm thi luật, điểm chuyên môn, kết quả từng phần và kết quả tổng thể. FK đến Exam Assessment và Practitioner.",NHNCK.EXAM_DETAILS
Condition,[Condition] Financial Charge,Securities Practitioner Qualification Examination Assessment Fee,Fundamental,approved,Biểu phí thi sát hạch quy định cho từng loại CCHN trong từng đợt thi (Condition). Phân biệt với License Application Fee là phí thực tế thu từng hồ sơ (Transaction).,NHNCK.EXAM_SESSION_FEES
Documentation,[Documentation] Gov. Registration Document,Securities Practitioner License Application,Fundamental,approved,"Hồ sơ đăng ký chứng chỉ hành nghề chứng khoán. Ghi nhận loại đăng ký, loại hồ sơ, trạng thái, ngày nộp, CCHN liên quan và kết quả thi. FK đến Practitioner và Officer phụ trách.",NHNCK.APPLICATIONS
Documentation,[Documentation] Education Certificate,Securities Practitioner License Application Education Certificate Document,Fundamental,approved,"Chứng chỉ hoặc bằng chuyên môn đào tạo đính kèm trong hồ sơ đăng ký CCHN. Ghi nhận loại chuyên môn, file đính kèm, trạng thái thẩm định và cán bộ thẩm định.",NHNCK.APPLICATION_SPECIALIZATIONS
Documentation,[Documentation] Gov. Registration Document,Securities Practitioner License Application Re-Exam Request,Fundamental,approved,"Liên kết theo dõi chu trình thi lại — hồ sơ gốc, kết quả thi trượt và hồ sơ đăng ký thi lại mới (nullable nếu chưa nộp). FK đến License Application (×2) và Exam Assessment Result.",NHNCK.APPLICATION_RE_EXAMS
Documentation,[Documentation] Gov. Registration Document,Securities Practitioner License Certificate Document,Fundamental,approved,"Chứng chỉ hành nghề chứng khoán được cấp cho người hành nghề. Ghi nhận số CCHN, loại, ngày cấp, trạng thái và 3 quyết định liên quan (cấp/thu hồi/hủy). FK đến Practitioner.",NHNCK.CERTIFICATE_RECORDS
Documentation,[Documentation] Gov. Registration Document,Securities Practitioner License Decision Document,Fundamental,approved,"Quyết định hành chính do UBCKNN ban hành liên quan đến CCHN — cấp, thu hồi, hủy CCHN hoặc công nhận kết quả thi. Ghi nhận số quyết định, loại, ngày ký và người ký.",NHNCK.DECISIONS
Documentation,[Documentation] Employer Registration,Securities Practitioner Organization Employment Report,Fact Append,approved,"Báo cáo của tổ chức về tình trạng làm việc của người hành nghề. Mỗi dòng = 1 lần nộp báo cáo insert-only. Ghi nhận loại báo cáo, trạng thái làm việc, chức vụ và ngày báo cáo.",NHNCK.ORGANIZATION_REPORTS
Event,[Event] Training Course,Securities Practitioner Professional Training Class,Fundamental,approved,"Khóa học chuyên môn bổ sung kiến thức cho người hành nghề chứng khoán. Master entity của khóa học — ghi nhận mã, tên, loại chuyên môn, thời gian và địa điểm thi.",NHNCK.SPECIALIZATION_COURSES
Involved Party,Shared Entity,Involved Party Alternative Identification,Fundamental,approved,Lưu trữ các giấy tờ định danh thay thế của Involved Party (CMND/CCCD/Hộ chiếu/Giấy phép kinh doanh/Chứng chỉ hành nghề). Mỗi dòng = 1 loại giấy tờ từ 1 nguồn.,NHNCK.PROFESSIONALS
Involved Party,Shared Entity,Involved Party Electronic Address,Fundamental,approved,Lưu trữ các địa chỉ liên lạc điện tử của Involved Party (điện thoại/fax/email). Mỗi dòng = 1 kênh liên lạc từ 1 nguồn.,"NHNCK.UNITS, NHNCK.ORGANIZATIONS, NHNCK.USERS, NHNCK.PROFESSIONALS"
Involved Party,Shared Entity,Involved Party Postal Address,Fundamental,approved,Lưu trữ các địa chỉ bưu chính của Involved Party (trụ sở/kinh doanh/thường trú/nơi ở hiện tại). Mỗi dòng = 1 loại địa chỉ từ 1 nguồn.,"NHNCK.UNITS, NHNCK.ORGANIZATIONS, NHNCK.PROFESSIONALS"
Involved Party,[Involved Party] Individual,Regulatory Authority Officer,Fundamental,approved,"Cán bộ, chuyên viên UBCKNN có tài khoản trong hệ thống NHNCK. Ghi nhận thông tin nhân sự, đơn vị/phòng ban phụ trách và trạng thái tài khoản. Không lưu thông tin xác thực (PASSWORD).",NHNCK.USERS
Involved Party,[Involved Party] Organization,Regulatory Authority Organization Unit,Fundamental,approved,Đơn vị và phòng ban thuộc UBCKNN — cấu trúc cây self-referencing DEPARTMENT → UNIT. Phân biệt bằng Organization Unit Type Code (ETL-derived). Dùng chung làm FK tổ chức nội bộ.,"NHNCK.UNITS, NHNCK.DEPARTMENTS"
Involved Party,[Involved Party] Organization,Securities Organization Reference,Fundamental,approved,"Tổ chức tham gia thị trường chứng khoán được UBCKNN quản lý (CTCK, QLQ, Ngân hàng, v.v.). Ghi nhận mã tổ chức, tên, loại hình, vốn điều lệ và trạng thái hoạt động.",NHNCK.ORGANIZATIONS
Involved Party,[Involved Party] Individual,Securities Practitioner,Fundamental,approved,Người hành nghề chứng khoán được UBCKNN quản lý. Ghi nhận thông tin nhân thân và trạng thái hành nghề.,"NHNCK.PROFESSIONALS, NHNCK.PROFESSIONAL_HISTORIES"
Involved Party,[Involved Party] Individual Employment Status,Securities Practitioner Employment Status,Fundamental,approved,"Giai đoạn làm việc của người hành nghề tại một tổ chức chứng khoán. Ghi nhận tổ chức, chức vụ, phòng ban, ngày bắt đầu và ngày kết thúc (NULL = đang làm việc).",NHNCK.PROFESSIONAL_WORK_HISTORIES
Involved Party,[Involved Party] Individual Employment Status,Securities Practitioner License Application Employment Experience,Fundamental,approved,"Kinh nghiệm làm việc khai báo trong hồ sơ đăng ký CCHN. Ghi nhận tổ chức, thời gian làm việc, chức vụ, phòng ban, số BHXH và thông tin hợp đồng lao động.",NHNCK.APPLICATION_EXPERIENCES
Involved Party,[Involved Party] Individual,Securities Practitioner License Application Snapshot,Fundamental,approved,"Snapshot thông tin nhân thân của người đăng ký tại thời điểm nộp hồ sơ. Denormalize toàn bộ trường định danh, địa chỉ và liên lạc từ Practitioner. Loại bỏ USERNAME/PASSWORD.",NHNCK.APPLICATION_PROFESSIONALS
Involved Party,[Involved Party] Individual Employment Status,Securities Practitioner Professional Training History,Fundamental,approved,"Lịch sử đào tạo và bồi dưỡng của người hành nghề chứng khoán. Ghi nhận thời gian, địa điểm đào tạo, chuyên ngành, khen thưởng và kỷ luật. FK đến Practitioner.",NHNCK.PROFESSIONAL_TRAININGS
Involved Party,[Involved Party] Involved Party Relationship,Securities Practitioner Related Party,Fundamental,approved,"Quan hệ thân nhân của người hành nghề chứng khoán. Ghi nhận loại quan hệ, họ tên, năm sinh, địa chỉ, nghề nghiệp và số giấy tờ định danh của người thân.",NHNCK.PROFESSIONAL_RELATIONSHIPS
Location,[Location] Geographic Area,Geographic Area,Fundamental,approved,"Đơn vị địa lý dùng làm FK tham chiếu: quốc gia/quốc tịch (COUNTRY), vùng/miền (REGION), tỉnh/thành phố mới/cũ (PROVINCE/PROVINCE_OLD), quận/huyện cũ (DISTRICT_OLD), phường/xã mới/cũ (WARD/WARD_OLD). Phân biệt bằng geographic_area_type_code. Hỗ trợ song song bộ danh mục pre- và post-sáp nhập hành chính 2025.","NHNCK.COUNTRIES, NHNCK.PROVINCES, NHNCK.DISTRICTS"
Transaction,[Event] Transaction,Securities Practitioner License Application Fee,Fundamental,approved,"Phí thực tế phát sinh cho hồ sơ đăng ký CCHN — phí nộp hồ sơ, phí cấp CCHN (Transaction). Có lifecycle riêng qua trạng thái thanh toán. Phân biệt với Examination Assessment Fee (Condition).",NHNCK.APPLICATION_FEES
