STT,Tên bảng,Ý nghĩa bảng
1,CONTENTITEMINDEX,"Orchard Core - chỉ mục chính của tất cả content item (loại, trạng thái publish, chủ sở hữu, ngày, đường dẫn)"
2,DOCUMENT,Orchard Core YesSql - kho lưu trữ document JSON trung tâm cho toàn bộ nội dung và cấu hình CMS
3,ALIASPARTINDEX,Orchard Core - chỉ mục lưu URL alias (đường dẫn tùy chỉnh) của content item
4,AUTOROUTEPARTINDEX,Orchard Core - chỉ mục lưu URL tự động sinh cho content item
5,CONTAINEDPARTINDEX,Orchard Core - chỉ mục theo dõi quan hệ cha-con giữa các content item
6,INDEXINGTASK,Orchard Core - hàng đợi tác vụ đánh chỉ mục nội dung đang chờ xử lý
7,LAYERMETADATAINDEX,Orchard Core - chỉ mục lưu metadata và quy tắc của widget layer
8,DEPLOYMENTPLANINDEX,Orchard Core - chỉ mục theo dõi các bước trong kế hoạch triển khai
9,TAXONOMYINDEX,"Orchard Core - chỉ mục phân loại, ánh xạ content item với các nhãn phân loại"
10,BOOLEANFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường boolean
11,TEXTFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường văn bản phục vụ lọc và tìm kiếm
12,MULTITEXTFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường văn bản đa giá trị
13,HTMLFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường HTML phục vụ tìm kiếm
14,DATEFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường ngày (date)
15,DATETIMEFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường ngày giờ (datetime)
16,TIMEFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường thời gian (time)
17,NUMERICFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường số
18,LINKFIELDINDEX,Orchard Core - chỉ mục lưu giá trị trường liên kết (link)
19,CONTENTPICKERFIELDINDEX,Orchard Core - chỉ mục lưu tham chiếu giữa các content item qua trường content picker
20,USERPICKERFIELDINDEX,Orchard Core - chỉ mục lưu tham chiếu trường chọn người dùng
21,USERINDEX,"Orchard Core - chỉ mục người dùng chính (tên đăng nhập, email, chuẩn hóa, trạng thái kích hoạt)"
22,USERBYLOGININFOINDEX,Orchard Core - chỉ mục ánh xạ thông tin đăng nhập bên ngoài (Google/Facebook...) với người dùng
23,USERBYCLAIMINDEX,Orchard Core - chỉ mục ánh xạ giá trị claim với người dùng
24,USERBYROLENAMEINDEX,Orchard Core - chỉ mục ánh xạ tên vai trò với ID document người dùng
25,USERBYROLENAMEINDEX_DOCUMENT,Orchard Core - bảng liên kết chỉ mục tên vai trò với document người dùng
26,OPENID_DOCUMENT,Orchard Core YesSql - kho lưu trữ document JSON cho module OpenID
27,OPENID_OPENIDAPPLICATIONINDEX,Orchard Core - chỉ mục ứng dụng OpenID
28,OPENID_OPENIDAUTHORIZATIONINDEX,Orchard Core - chỉ mục ủy quyền OpenID
29,OPENID_OPENIDTOKENINDEX,Orchard Core - chỉ mục token OpenID
30,OPENID_OPENIDSCOPEINDEX,Orchard Core - chỉ mục scope OpenID
31,OPENID_OPENIDSCOPEBYRESOURCEINDEX_OPENID_DOCUMENT,Orchard Core - bảng liên kết chỉ mục scope theo resource với document OpenID
32,OPENID_OPENIDAPPBYREDIRECTURIINDEX,Orchard Core OpenID - chỉ mục ánh xạ redirect URI đến ứng dụng
33,OPENID_OPENIDAPPBYLOGOUTURIINDEX,Orchard Core OpenID - chỉ mục ánh xạ logout URI đến ứng dụng
34,OPENID_OPENIDAPPBYROLENAMEINDEX,Orchard Core OpenID - chỉ mục ánh xạ tên vai trò đến ứng dụng
35,OPENID_OPENIDAPPBYREDIRECTURIINDEX_OPENID_DOCUMENT,Orchard Core - bảng liên kết chỉ mục redirect URI với document OpenID
36,OPENID_OPENIDAPPBYLOGOUTURIINDEX_OPENID_DOCUMENT,Orchard Core - bảng liên kết chỉ mục logout URI với document OpenID
37,OPENID_OPENIDAPPBYROLENAMEINDEX_OPENID_DOCUMENT,Orchard Core - bảng liên kết chỉ mục vai trò với document OpenID
38,OAUTH2_AUTHORIZATION,"Spring Authorization Server - bản ghi ủy quyền OAuth2 (authorization_code, access_token, refresh_token)"
39,OAUTH2_AUTHORIZATION_CONSENT,Spring Authorization Server - bản ghi đồng ý cấp quyền OAuth2 scope của người dùng
40,OAUTH2_REGISTERED_CLIENT,"Spring Authorization Server - danh sách OAuth2 client đã đăng ký (client_id, secret, scope, redirect URI)"
41,AUDIT_AUDITTRAILEVENTINDEX,Orchard Core - chỉ mục sự kiện audit trail (lịch sử thao tác)
42,AUDIT_DOCUMENT,Orchard Core YesSql - kho lưu trữ document JSON cho module audit
43,NOTIFICATION_NOTIFICATIONINDEX,Orchard Core - chỉ mục thông báo
44,NOTIFICATION_DOCUMENT,Orchard Core YesSql - kho lưu trữ document JSON cho module thông báo
45,WORKFLOWINDEX,Orchard Core - chỉ mục phiên bản quy trình đang chạy
46,WORKFLOWTYPEINDEX,Orchard Core - chỉ mục loại quy trình đã đăng ký
47,WORKFLOWBLOCKINGACTIVITIESINDEX,Orchard Core - chỉ mục quy trình theo dõi các hoạt động đang chặn thực thi
48,WORKFLOWTYPESTARTACTIVITIESINDEX,Orchard Core - chỉ mục ánh xạ hoạt động khởi đầu với loại quy trình
49,TRIGGER_LOGS,Nhật ký lịch sử thực thi trigger - ghi nhận mỗi lần trigger được kích hoạt và kết quả
50,TRIGGER_ACTION_LOGS,Nhật ký thực thi từng bước hành động trong một lần chạy trigger
51,FLYWAY_SCHEMA_HISTORY,Bảng lịch sử migration của Flyway - theo dõi các script migration DB đã áp dụng
52,SMSPROVIDERCONFIG,"Cấu hình nhà cung cấp SMS (Viettel, Mobifone, VNPT, Twilio, AWS SNS)"
53,TVRP_USERS,Người dùng ứng dụng - tài khoản người dùng cục bộ dùng cho RBAC (bổ sung cho Orchard UserIndex)
54,TVRP_ROLES,Vai trò - các vai trò ứng dụng dùng trong phân quyền RBAC
55,TVRP_USER_ROLES,Gán vai trò người dùng - ánh xạ nhiều-nhiều giữa người dùng và vai trò
56,TVRP_USER_ROLE_HISTORY,Lịch sử vai trò người dùng - nhật ký kiểm toán việc gán và thu hồi vai trò
57,TVRP_USER_SCOPES,Phạm vi dữ liệu người dùng - phạm vi truy cập dữ liệu gán cho người dùng để bảo mật cấp hàng
58,TVRP_SCOPE_TEMPLATES,Mẫu phạm vi - mẫu định nghĩa phạm vi dữ liệu có thể tái sử dụng cho chính sách ABAC
