attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Identity Verification Record Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Verification"" (Communication)."
Identity Verification Record Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.IdentityInfoC06s.Id,BK chính.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.IdentityInfoC06s,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.qlnhn.IdentityInfoC06s.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.qlnhn.IdentityInfoC06s.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.
Identification Number,Số CCCD/CMND được xác thực,Text,true,false,draft,NHNCK.qlnhn.IdentityInfoC06s.IdentityNumber,"Giá trị gửi xác thực, có thể khác giá trị hiện tại trên Professionals."
Verification Status Code,Trạng thái xác thực,Classification Value,true,false,draft,NHNCK.qlnhn.IdentityInfoC06s.VerifyStatus,Scheme: C06_VERIFICATION_STATUS.
Verification Date,Ngày xác thực,Date,true,false,draft,NHNCK.qlnhn.IdentityInfoC06s.VerifyDate,
Response Data,Dữ liệu phản hồi từ C06,Text,true,false,draft,NHNCK.qlnhn.IdentityInfoC06s.ResponseData,JSON hoặc text phản hồi. Lưu nguyên.
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.IdentityInfoC06s.CreatedAt,
