attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Corporate Bond Trading Snapshot Id,Khóa đại diện cho bản tin thông tin giao dịch trái phiếu doanh nghiệp.,Surrogate Key,false,true,draft,,PK surrogate.,,
Corporate Bond Trading Snapshot Code,Định danh duy nhất bản tin (GUID). BK.,Text,false,false,draft,MDDS.CorpBondInfor.Id,BK chính. PK nguồn string (GUID) — khớp tự nhiên với Text.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=MDDS.CorpBondInfor,
Symbol,Mã trái phiếu doanh nghiệp (ví dụ: BHB12104). BK.,Text,false,false,draft,MDDS.CorpBondInfor.symbol,BK nghiệp vụ. Nguồn string — khớp tự nhiên với Text.,,
Trading Date,Ngày giao dịch (dd/mm/yyyy). BK.,Date,false,false,draft,MDDS.CorpBondInfor.tradingdate,BK. Nguồn string (dd/mm/yyyy) — ETL cần parse sang Date. Cần validate format ngày hợp lệ.,,
Full Name,Tên đầy đủ của trái phiếu.,Text,true,false,draft,MDDS.CorpBondInfor.FullName,Nguồn string — khớp tự nhiên với Text.,,
Floor Code,Mã sàn giao dịch — luôn = 06 (thị trường trái phiếu doanh nghiệp HNX).,Classification Value,false,false,draft,MDDS.CorpBondInfor.FloorCode,Scheme: MDDS_FLOOR_CODE. Hardcode = 06. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_FLOOR_CODE,06
Stock Type Code,Loại chứng khoán — luôn = 12 cho TPDN.,Classification Value,false,false,draft,MDDS.CorpBondInfor.StockType,Scheme: MDDS_STOCK_TYPE. Hardcode = 12 cho TPDN. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_STOCK_TYPE,12
Trading Session Id,Mã trạng thái giao dịch theo quy định kết cấu phiên HNX.,Classification Value,true,false,draft,MDDS.CorpBondInfor.tradingSessionID,Scheme: MDDS_TRADING_SESSION. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_TRADING_SESSION,
Security Trading Status Code,"Trạng thái trái phiếu: 0=Bình thường / 1=Tạm ngừng nghỉ lễ / 2=Ngừng GD / 10=Tạm ngừng GD / 11=Hạn chế GD / 25=GD đặc biệt.",Classification Value,true,false,draft,MDDS.CorpBondInfor.securityTradingStatus,"Scheme: MDDS_SECURITY_TRADING_STATUS. Nguồn string — khớp tự nhiên với Classification Value. Giữ nguyên giá trị số (0 / 1 / 2 / 10 / 11 / 25) làm code.",MDDS_SECURITY_TRADING_STATUS,
