,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã,Dashboard/báo cáo,Thông tin,Mô tả,Nhóm yêu cầu,Phân loại,Đánh giá,Độ chi tiết,Nguồn,Cần phân tích?,Cần test?,DL lịch sử?,Trạng thái mapping,Mapping (nghiệp vụ),Bảng nguồn,Trường nguồn,Điều kiện dữ liệu,Câu lệnh SQL,Câu lệnh update SIT,Note,Hoàn thành DEV,Loại dữ liệu,Kết quả SIT
,,,Tên chiều/chỉ tiêu/thuộc tính,List công thức,Dashboard/báo cáo/Data Explorer,Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh,"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi",Phục vụ design,,,,,"Done: đã map xong
doing: đang xem xét
failed: đã xem nhưng chưa maping được
(null): chưa làm",,Bảng(s) trong CSDL IDS,Trường SELECT,WHERE / GROUP BY / HAVING,SQL tham khảo,,,,,
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Mã CK doanh nghiệp,,Dashboard,Chiều,Dễ,"CTDC, ngày",IDS,X,X,,Done,,company_profiles,cp.equity_ticker AS ma_ck,cp.status_ids_cd = 'APPROVED_PUBLIC',"SELECT cp.equity_ticker AS ma_ck, cp.company_name_vn AS ten_dn
 FROM company_profiles cp
 WHERE cp.status_ids_cd = 'APPROVED_PUBLIC'","SELECT cp.ID, cp.COMPANY_NAME_VN , cp.EQUITY_TICKER , cp.bond_ticker, aa.*
FROM GMS_IDS_UAT.company_profiles cp JOIN 
(        SELECT * 
        FROM (--điểm cấp 2
                SELECT ev.evaluation_date,
                company_id, ep.YEAR||lpad(ep.MONTH,2,0) AS per
                , eg.group_cd, sum(ed.score) AS diem
                FROM GMS_IDS_UAT.evaluations ev
                JOIN GMS_IDS_UAT.evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
                JOIN GMS_IDS_UAT.evaluation_details ed ON ed.evaluation_id = ev.id
                JOIN GMS_IDS_UAT.evaluation_criteria ec ON ec.id = ed.criterion_id
                JOIN GMS_IDS_UAT.evaluation_groups eg ON eg.id = ec.group_id
                WHERE 1=1
                AND eg.group_cd IN ('TUAN_THU', 'PHAT_HANH', 'TAI_CHINH', 'PHI_TAI_CHINH')
                Group by company_id, eg.group_cd, ep.YEAR||lpad(ep.MONTH,2,0), ev.evaluation_date
                --        điểm tổng (cấp 1)
                UNION ALL
                SELECT ev.evaluation_date        ,
                company_id, ep.YEAR||lpad(ep.MONTH,2,0) AS per
                , 'TONG' group_cd, ev.total_score AS diem
                FROM GMS_IDS_UAT.evaluations ev
                JOIN GMS_IDS_UAT.evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
                WHERE 1=1
                --điểm cấp 3
                UNION ALL
                SELECT ev.evaluation_date,
                company_id, ep.YEAR||lpad(ep.MONTH,2,0) AS per
                , criterion_cd, ed.score AS diem_phat_hanh_nhanh
                FROM GMS_IDS_UAT.evaluation_details ed
                JOIN GMS_IDS_UAT.evaluation_criteria ec ON ec.id = ed.criterion_id
                JOIN GMS_IDS_UAT.evaluation_groups eg ON eg.id = ec.group_id
                JOIN GMS_IDS_UAT.evaluations ev ON ev.id = ed.evaluation_id
                JOIN GMS_IDS_UAT.evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
                WHERE ec.criterion_cd = 'PHAT_HANH_TIN_NHIEM'
                AND eg.group_cd = 'PHAT_HANH'
                )
        pivot  (sum(diem)
                FOR group_cd IN ('TONG' AS TONG, 'TUAN_THU' AS TUAN_THU, 'PHAT_HANH' AS PHAT_HANH, 'TAI_CHINH' AS TAI_CHINH, 'PHI_TAI_CHINH' AS PHI_TAI_CHINH
                                                ,'PHAT_HANH_TIN_NHIEM' AS PHAT_HANH_TIN_NHIEM
                                                )
                        ) 
) aa ON cp.id = aa.COMPANY_ID 
--AND cp.EQUITY_TICKER = 'DNL'
AND per = '202607'
;",,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Tên doanh nghiệp,,Dashboard,Chiều,Dễ,"CTDC, ngày",IDS,X,X,,Done,,company_profiles,cp.company_name_vn AS ten_dn,cp.status_ids_cd = 'APPROVED_PUBLIC',,,,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Tuân thủ,Điểm tuân thủ trên phân hệ: Đánh giá mức độ tuân thủ về Công bố thông tin của các Công ty đại chúng,Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,X,X,,Done,,"evaluations (ev)
 evaluation_details (ed)
 evaluation_criteria (ec)
 evaluation_groups (eg)
 evaluation_periods (ep)",SUM(ed.score) AS diem_tuan_thu,"eg.group_cd = 'TUAN_THU'
 AND ev.company_id = :p_company_id
 AND ep.year = :p_year AND ep.month = :p_month
 AND ev.id = ed.evaluation_id
 AND ed.criterion_id = ec.id
 AND ec.group_id = eg.id
 AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, sum(ed.score) AS diem_tuan_thu
 FROM evaluations ev
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 JOIN evaluation_details ed ON ed.evaluation_id = ev.id
 JOIN evaluation_criteria ec ON ec.id = ed.criterion_id
 JOIN evaluation_groups eg ON eg.id = ec.group_id
 WHERE eg.group_cd = 'TUAN_THU'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month
Group by company_id",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Phát hành,Điểm phát hành trên phân hệ: Đánh giá việc huy động phát hành tăng vốn của công ty đảm bảo đúng quy định và vốn huy động được sử dụng đúng mục đích.,Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,x,X,,Done,,"evaluations (ev)
 evaluation_details (ed)
 evaluation_criteria (ec)
 evaluation_groups (eg)
 evaluation_periods (ep)",SUM(ed.score) AS diem_phat_hanh,"eg.group_cd = 'PHAT_HANH'
 AND ev.company_id = :p_company_id
 AND ep.year = :p_year AND ep.month = :p_month
 AND ev.id = ed.evaluation_id
 AND ed.criterion_id = ec.id
 AND ec.group_id = eg.id
 AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, sum(ed.score) AS diem_phat_hanh
 FROM evaluations ev
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 JOIN evaluation_details ed ON ed.evaluation_id = ev.id
 JOIN evaluation_criteria ec ON ec.id = ed.criterion_id
 JOIN evaluation_groups eg ON eg.id = ec.group_id
 WHERE eg.group_cd = 'PHAT_HANH'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month
Group by company_id",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Tài chính,Điểm tài chính trên phân hệ: Đánh giá điểm rủi ro tài chính của Công ty,Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,x,X,,Done,,"evaluations (ev)
 evaluation_details (ed)
 evaluation_criteria (ec)
 evaluation_groups (eg)
 evaluation_periods (ep)",SUM(ed.score) AS diem_tai_chinh,"eg.group_cd = 'TAI_CHINH'
 AND ev.company_id = :p_company_id
 AND ep.year = :p_year AND ep.month = :p_month
 AND ev.id = ed.evaluation_id
 AND ed.criterion_id = ec.id
 AND ec.group_id = eg.id
 AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, sum(ed.score) AS diem_tai_chinh
 FROM evaluations ev
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 JOIN evaluation_details ed ON ed.evaluation_id = ev.id
 JOIN evaluation_criteria ec ON ec.id = ed.criterion_id
 JOIN evaluation_groups eg ON eg.id = ec.group_id
 WHERE eg.group_cd = 'TAI_CHINH'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month
Group by company_id",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Phi tài chính & M-Score,Điểm phi tài chính & M-Score,Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,x,X,,Done,,"evaluations (ev)
 evaluation_details (ed)
 evaluation_criteria (ec)
 evaluation_groups (eg)
 evaluation_periods (ep)",SUM(ed.score) AS diem_PHI_TAI_CHINH,"eg.group_cd = 'PHI_TAI_CHINH'
 AND ev.company_id = :p_company_id
 AND ep.year = :p_year AND ep.month = :p_month
 AND ev.id = ed.evaluation_id
 AND ed.criterion_id = ec.id
 AND ec.group_id = eg.id
 AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, sum(ed.score) AS diem_PHI_TAI_CHINH
 FROM evaluations ev
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 JOIN evaluation_details ed ON ed.evaluation_id = ev.id
 JOIN evaluation_criteria ec ON ec.id = ed.criterion_id
 JOIN evaluation_groups eg ON eg.id = ec.group_id
 WHERE eg.group_cd = 'PHI_TAI_CHINH'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month
Group by company_id",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Xếp hạng tín nhiệm DN,Xếp hạng DN phát hành TP riêng lẻ,Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,x,X,,Done,,"evaluations (ev)
 evaluation_details (ed)
 evaluation_criteria (ec)
 evaluation_groups (eg)
 evaluation_periods (ep)","company_id, ed.score AS diem_phat_hanh_nhanh,
  ed.result AS ket_qua","ec.criterion_cd = 'PHAT_HANH_TIN_NHIEM'
  AND eg.group_cd = 'PHAT_HANH'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year AND ep.month = :p_month
  AND ed.evaluation_id = ev.id
  AND ed.criterion_id = ec.id
  AND ec.group_id = eg.id
  AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, ed.score AS diem_phat_hanh_nhanh,
  ed.result AS ket_qua
 FROM evaluation_details ed
 JOIN evaluation_criteria ec ON ec.id = ed.criterion_id
 JOIN evaluation_groups eg ON eg.id = ec.group_id
 JOIN evaluations ev ON ev.id = ed.evaluation_id
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 WHERE ec.criterion_cd = 'PHAT_HANH_TIN_NHIEM'
  AND eg.group_cd = 'PHAT_HANH'
  AND ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month

SELECT company_id, ecb.ranking AS xep_hang_tin_nhiem
 FROM evaluation_cbonds ecb
 WHERE ecb.company_id = :p_company_id
  AND ecb.year = :p_year
  AND ecb.month = :p_month",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
1,,Dashboard tổng hợp chấm điểm phân loại CTDC,Điểm,"Điểm tổng hợp từ các tiêu chí tài chính, phát hành, tuân thủ, phi tài chính & M-Score",Dashboard,Chỉ tiêu cơ sở,TB,"CTDC, ngày",IDS,x,X,,Done,,"evaluations (ev)
 evaluation_periods (ep)","ev.total_score AS diem_tong_hop
 ev.type AS xep_loai","ev.company_id = :p_company_id
 AND ep.year = :p_year AND ep.month = :p_month
 AND ev.period_id = ep.id AND upper(ep.STATUS) ='APPROVED'","SELECT company_id, ev.total_score AS diem_tong_hop,
  ev.type AS xep_loai
 FROM evaluations ev
 JOIN evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
 WHERE ev.company_id = :p_company_id
  AND ep.year = :p_year
  AND ep.month = :p_month",,Phân hệ đang pending ev.status => DW sẽ bổ sung sau khi phân hệ hoàn thành,Done,Dữ liệu tĩnh,P
2,,Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ,Mã CK doanh nghiệp,,Dashboard,Chiều,Trùng,"CTDC, ngày",IDS,,X,,Done,,trùng dòng 4,,,,"SELECT cp.ID, cp.COMPANY_NAME_VN , cp.EQUITY_TICKER , cp.bond_ticker, aa.*
FROM GMS_IDS_UAT.company_profiles cp JOIN 
(	SELECT * 
	FROM (--điểm cấp 3
		SELECT ev.evaluation_date,
		company_id, ep.YEAR||lpad(ep.MONTH,2,0) AS per
		, criterion_cd, ed.score AS diem
		FROM GMS_IDS_UAT.evaluation_details ed
		JOIN GMS_IDS_UAT.evaluation_criteria ec ON ec.id = ed.criterion_id
		JOIN GMS_IDS_UAT.evaluation_groups eg ON eg.id = ec.group_id
		JOIN GMS_IDS_UAT.evaluations ev ON ev.id = ed.evaluation_id
		JOIN GMS_IDS_UAT.evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
		WHERE 1=1
		AND eg.group_cd = 'TUAN_THU'
		AND ec.criterion_cd in ('TUAN_THU_BCTC', 'TUAN_THU_BCTN', 'TUAN_THU_BCTHQT', 'TUAN_THU_CBTTBT_TDTGD', 'TUAN_THU_VP_UBCK', 
								'TUAN_THU_CBTTBT_VPVT', 'TUAN_THU_QTCT_DLCT', 'TUAN_THU_QTCT_SLDHDCD', 'TUAN_THU_QTCT_SLTVDL', 'TUAN_THU_QTCT_SLTVKDH', 
								'TUAN_THU_QTCT_TCTV', 'TUAN_THU_QTCT_SLTVBKS', 'TUAN_THU_BCSDV_BCTDSDV', 'TUAN_THU_BCSDV_TDPASDV')
		--điểm cấp 2
		UNION ALL
		SELECT ev.evaluation_date,
		company_id, ep.YEAR||lpad(ep.MONTH,2,0) AS per
		, eg.group_cd, sum(ed.score) AS diem
		FROM GMS_IDS_UAT.evaluations ev
		JOIN GMS_IDS_UAT.evaluation_periods ep ON ep.id = ev.period_id AND upper(ep.STATUS) ='APPROVED'
		JOIN GMS_IDS_UAT.evaluation_details ed ON ed.evaluation_id = ev.id
		JOIN GMS_IDS_UAT.evaluation_criteria ec ON ec.id = ed.criterion_id
		JOIN GMS_IDS_UAT.evaluation_groups eg ON eg.id = ec.group_id
		WHERE 1=1
		AND eg.group_cd = 'TUAN_THU'
		Group by company_id, eg.group_cd, ep.YEAR||lpad(ep.MONTH,2,0), ev.evaluation_date
		)
	pivot  (sum(diem)
		FOR criterion_cd IN ('TUAN_THU' AS TONG, 'TUAN_THU_BCTC' AS BCTC, 'TUAN_THU_BCTN' AS BCTN, 'TUAN_THU_BCTHQT' AS BCTHQT, 'TUAN_THU_CBTTBT_TDTGD' AS CBTTBT_TDTGD, 'TUAN_THU_VP_UBCK' AS VP_UBCK, 
								'TUAN_THU_CBTTBT_VPVT' AS CBTTBT_VPVT, 'TUAN_THU_QTCT_DLCT' AS QTCT_DLCT, 'TUAN_THU_QTCT_SLDHDCD' AS QTCT_SLDHDCD, 'TUAN_THU_QTCT_SLTVDL' AS QTCT_SLTVDL, 'TUAN_THU_QTCT_SLTVKDH' AS QTCT_SLTVKDH, 
								'TUAN_THU_QTCT_TCTV' AS QTCT_TCTV, 'TUAN_THU_QTCT_SLTVBKS' AS QTCT_SLTVBKS, 'TUAN_THU_BCSDV_BCTDSDV' AS BCSDV_BCTDSDV, 'TUAN_THU_BCSDV_TDPASDV' AS BCSDV_TDPASDV
						)
			) 
) aa ON cp.id = aa.COMPANY_ID 
--AND cp.EQUITY_TICKER = 'DNL'
AND per = '202607'",,Done,Dữ liệu tĩnh,P
