attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Tax Debt Enforcement Order Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Regulatory Report"" (Documentation) — entity-level concept.",,
Tax Debt Enforcement Order Code,Mã định danh bản ghi trong DCST. BK,Text,false,false,draft,DCST.TCT_TT_CUONG_CHE_NO.ID,BK chính. PK nguồn map vào Code.,,
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.TCT_TT_CUONG_CHE_NO,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.,,
Registered Taxpayer Id,Mã người nhận. FK đến Registered Taxpayer,Surrogate Key,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.MA_NNHAN,"FK target: Registered Taxpayer.Registered Taxpayer Id. ETL JOIN MA_NNHAN (= MST) → Registered Taxpayer. Nullable vì link ngầm. BCV: ""Organization Tax Identification Number"" (Involved Party) — MA_NNHAN là MST của NNT.",,
Registered Taxpayer Code,Mã người nhận,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.MA_NNHAN,FK target: Registered Taxpayer.Registered Taxpayer Code. Pair with Registered Taxpayer Id.,,
Taxpayer Name,Tên người nhận,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.TEN_NNHAN,"BCV: ""Organization Name"" (Involved Party). Snapshot tại thời điểm quyết định.",,
Taxpayer Business Industry,Ngành kinh doanh đối tượng bị cưỡng chế,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.NGANH_KD_DTBCC,"BCV: ""Organization Industry Classification"" (Involved Party). Snapshot tại thời điểm quyết định.",,
Tax Authority Code,Mã cơ quan thuế,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.MA_CQT,BCV: không có term riêng. Cơ quan thuế ban hành QĐ. Phân biệt với Supervisory Tax Authority (cơ quan quản lý NNT).,,
Tax Authority Name,Tên cơ quan thuế,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.TEN_CQT,BCV: không có term riêng. Denormalized name tương ứng Tax Authority Code.,,
Supervisory Tax Authority Code,Mã cơ quan thuế quản lý,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.MA_CQT_QL,BCV: không có term riêng. Nhất quán prefix Supervisory Tax Authority với THONG_TIN_DK_THUE LLD và TCT_TTCCN_HOA_DON LLD.,,
Supervisory Tax Authority Name,Tên cơ quan thuế quản lý,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.TEN_CQT_QL,BCV: không có term riêng. Denormalized name. Nhất quán prefix.,,
Enforcement Type Code,Mã hình thức cưỡng chế,Classification Value,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.MA_HTCC,Scheme: TAX_ENFORCEMENT_TYPE. BCV: không có term riêng. Dùng chung với TCT_TTCCN_HOA_DON.,,
Enforcement Type Name,Tên hình thức cưỡng chế,Text,true,false,draft,DCST.TCT_TT_CUONG_CHE_NO.TEN_HTCC,BCV: không có term riêng. Denormalized name tương ứng Enforcement Type Code.,,
