attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Account Investor Group Id,Khóa đại diện cho nhóm tài khoản nhà đầu tư.,Surrogate Key,false,true,draft,,,,
Account Investor Group Code,Mã nhóm (hệ thống tự sinh). BK.,Text,false,false,draft,GSGD.account_group.group_code,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=GSGD.account_group,
Group Name,Tên nhóm.,Text,true,false,draft,GSGD.account_group.group_name,,,
Group Type Code,"Loại nhóm: 1=Thường, 2=Nghi vấn.",Classification Value,true,false,draft,GSGD.account_group.group_type,Scheme: GSGD_ACCOUNT_GROUP_TYPE.,GSGD_ACCOUNT_GROUP_TYPE,
Relation Type Code,Mã loại quan hệ (Danh tính / IP / MAC / Tiền).,Classification Value,true,false,draft,GSGD.account_group.relation_type_id,Scheme: GSGD_ACCOUNT_RELATION_TYPE. FK suy luận → category_item.,,GSGD_ACCOUNT_RELATION_TYPE,
Stock Code,Mã cổ phiếu liên quan. Denormalized — securities_code ngoài scope GSGD.,Text,true,false,draft,GSGD.account_group.stock_code,,,
Market Surveillance Case Id,FK đến vụ việc giám sát. Nullable — nhóm tồn tại độc lập.,Surrogate Key,true,false,draft,GSGD.account_group.case_file_id,FK target: Market Surveillance Case.Market Surveillance Case Id. Nullable per HLD Tier1 6f-1.,,
Market Surveillance Case Code,Mã vụ việc giám sát. Denormalized.,Text,true,false,draft,GSGD.account_group.case_file_id,FK target: Market Surveillance Case.Market Surveillance Case Code. Pair with Market Surveillance Case Id.,,
Description,Mô tả nhóm.,Text,true,false,draft,GSGD.account_group.description,,,
Characteristic,Đặc điểm nhóm.,Text,true,false,draft,GSGD.account_group.characteristic,,,
Contact Person Account,Người liên hệ.,Text,true,false,draft,GSGD.account_group.contact_person_account,,,
Approval Status Code,Trạng thái phê duyệt.,Classification Value,true,false,draft,GSGD.account_group.approval_status,Scheme: GSGD_APPROVAL_STATUS.,GSGD_APPROVAL_STATUS,
