attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Market Surveillance Case Id,Khóa đại diện cho vụ việc giám sát giao dịch.,Surrogate Key,false,true,draft,,,,
Market Surveillance Case Code,Mã vụ việc (tự sinh: MãCK+DDMMYYYY). BK.,Text,false,false,draft,GSGD.case_file.case_file_code,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=GSGD.case_file,
Case Type Code,Loại vụ việc (Sơ bộ / Thao túng / Nội gián / Liên thị trường).,Classification Value,true,false,draft,GSGD.case_file.case_file_type,Scheme: GSGD_CASE_TYPE.,GSGD_CASE_TYPE,
Securities Code,Mã chứng khoán liên quan. Denormalized — bảng securities_code ngoài scope GSGD.,Text,true,false,draft,GSGD.case_file.securities_code,Pending dependency: cần xác nhận bảng securities_code thuộc hệ thống nào (VSD/HoSE/HNX).,,
Information Source Code,Nguồn thông tin vụ việc.,Classification Value,true,false,draft,GSGD.case_file.information_source,Scheme: GSGD_INFORMATION_SOURCE.,GSGD_INFORMATION_SOURCE,
Information Source Detail,Nguồn thông tin chi tiết.,Text,true,false,draft,GSGD.case_file.information_source_detail,,,
Start Date,Ngày bắt đầu vụ việc.,Date,true,false,draft,GSGD.case_file.start_date,,,
End Date,Ngày kết thúc vụ việc.,Date,true,false,draft,GSGD.case_file.end_date,,,
Completion Date,Thời gian hoàn thành vụ việc.,Date,true,false,draft,GSGD.case_file.completion_date,,,
Assigned To,Người được phân công xử lý vụ việc.,Text,true,false,draft,GSGD.case_file.assigned_to,,,
Case Status Code,Trạng thái vụ việc.,Classification Value,true,false,draft,GSGD.case_file.case_file_status,Scheme: GSGD_CASE_STATUS.,GSGD_CASE_STATUS,
Notes,Ghi chú vụ việc.,Text,true,false,draft,GSGD.case_file.notes,,,
