attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Public Company Penalty Id,Khóa đại diện cho quyết định xử phạt hành chính.,Surrogate Key,false,true,draft,,PK surrogate.,,
Public Company Penalty Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.company_penalize.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.company_penalize,
Public Company Id,FK đến công ty đại chúng.,Surrogate Key,false,false,draft,IDS.company_penalize.company_profile_id,FK target: Public Company.Public Company Id.,,
Public Company Code,Mã công ty đại chúng.,Text,false,false,draft,IDS.company_penalize.company_profile_id,Lookup pair: Public Company.Public Company Code. Pair with Public Company Id.,,
Penalized Subject Type Code,Đối tượng bị xử phạt (công ty đại chúng / nhà đầu tư liên quan).,Classification Value,true,false,draft,IDS.company_penalize.penalized_subjet_type_cd,Scheme: IDS_PENALIZED_SUBJECT_TYPE.,IDS_PENALIZED_SUBJECT_TYPE,
Investor Name,Tên nhà đầu tư bị xử phạt (null khi đối tượng là công ty).,Text,true,false,draft,IDS.company_penalize.investor_name,Text denormalized — nhà đầu tư bị phạt không có entity Involved Party riêng trong scope IDS.,,
Investor Identification Number,Số CCCD/Hộ chiếu của nhà đầu tư.,Text,true,false,draft,IDS.company_penalize.investor_id_no,Text denormalized.,,
Investor Position Title,Chức vụ của nhà đầu tư.,Text,true,false,draft,IDS.company_penalize.investor_position_title,Text denormalized — chức vụ tại công ty đại chúng.,,
Penalty Decision Number,Số quyết định xử phạt.,Text,true,false,draft,IDS.company_penalize.penalty_decision_no,,,
Penalty Decision Date,Ngày quyết định xử phạt.,Date,true,false,draft,IDS.company_penalize.penalty_decision_date,,,
Violation Description,Mô tả hành vi vi phạm.,Text,true,false,draft,IDS.company_penalize.violation_desc,,,
Penalty Form,Hình thức phạt chính.,Text,true,false,draft,IDS.company_penalize.penalty_form,Text tự do từ nguồn — không có scheme tài liệu hóa.,,
Penalty Amount,Số tiền phạt.,Currency Amount,true,false,draft,IDS.company_penalize.penalty_amount,,,
Additional Penalty,Hình thức phạt bổ sung.,Text,true,false,draft,IDS.company_penalize.additional_penalty,,,
Remedial Minutes,Biên bản khắc phục hậu quả.,Text,true,false,draft,IDS.company_penalize.remedial_minutes,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.company_penalize.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.company_penalize.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.company_penalize.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.company_penalize.last_updated_date,,,
