"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Calendar Date Dimension","cdr_dt_dim","Calendar Date Dimension Id","cdr_dt_dim_id","false","Surrogate Key","string","PK","Surrogate key ETL generated","","","","","",""
"Calendar Date Dimension","cdr_dt_dim","Calendar Date","cdr_dt","false","Date","date","NK","Natural key — ngày lịch","","","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"Calendar Date Dimension","cdr_dt_dim","Year","yr","false","Small Counter","int","","Năm","YEAR(cdr_dt.cdr_dt)","computed","","","",""
"Calendar Date Dimension","cdr_dt_dim","Quarter","qtr","false","Small Counter","int","","Quý","QUARTER(cdr_dt.cdr_dt)","computed","","","",""
"Calendar Date Dimension","cdr_dt_dim","Month","mo","false","Small Counter","int","","Tháng","MONTH(cdr_dt.cdr_dt)","computed","","","",""
"Calendar Date Dimension","cdr_dt_dim","Day Of Week","day_of_wk","false","Small Counter","int","","Ngày trong tuần (1=CN, 7=T7)","DAYOFWEEK(cdr_dt.cdr_dt)","computed","","","",""
"Calendar Date Dimension","cdr_dt_dim","Is Weekend","is_weekend","false","Boolean","boolean","","Cờ cuối tuần","DAYOFWEEK(cdr_dt.cdr_dt) IN (1,7)","computed","","","",""
"Calendar Date Dimension","cdr_dt_dim","Holiday Flag","hol_f","false","Indicator","string","","Cờ ngày lễ","cdr_dt.hol_f","direct","Calendar Date","cdr_dt","Holiday Flag","hol_f"
"Calendar Date Dimension","cdr_dt_dim","Holiday Name","hol_nm","true","Text","string","","Tên ngày lễ","cdr_dt.hol_nm","direct","Calendar Date","cdr_dt","Holiday Name","hol_nm"
"Calendar Date Dimension","cdr_dt_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — filter nguồn chính thức ECAT_ECAT_29_HolidayInfo. Driving table: cdr_dt.","cdr_dt.src_stm_code WHERE cdr_dt.src_stm_code = 'ECAT_ECAT_29_HolidayInfo'","direct","Calendar Date","cdr_dt","Source System Code","src_stm_code"
"Securities Company Dimension","scr_co_dim","Securities Company Dimension Id","scr_co_dim_id","false","Surrogate Key","string","PK","Surrogate key ETL generated","","","Generated","","ETL derived",""
"Securities Company Dimension","scr_co_dim","Securities Company Code","scr_co_code","false","Text","string","NK","Mã CTCK","","","Securities Company","scr_co","Securities Company Code","scr_co_code"
"Securities Company Dimension","scr_co_dim","Securities Company Name","scr_co_nm","true","Text","string","","Tên đầy đủ","scr_co.scr_co_nm","direct","Securities Company","scr_co","Securities Company Name","scr_co_nm"
"Securities Company Dimension","scr_co_dim","Securities Company Short Name","scr_co_shrt_nm","true","Text","string","","Tên viết tắt","scr_co.scr_co_shrt_nm","direct","Securities Company","scr_co","Securities Company Short Name","scr_co_shrt_nm"
"Securities Company Dimension","scr_co_dim","Company Status Code","co_st_code","true","Classification Value","string","","Trạng thái CTCK","scr_co.co_st_code","direct","Securities Company","scr_co","Company Status Code","co_st_code"
"Securities Company Dimension","scr_co_dim","Is Listed Indicator","is_list_ind","true","Indicator","string","","Cờ niêm yết","scr_co.is_list_ind","direct","Securities Company","scr_co","Is Listed Indicator","is_list_ind"
"Securities Company Dimension","scr_co_dim","Stock Exchange Name","stk_exg_nm","true","Text","string","","Tên sàn niêm yết","scr_co.stk_exg_nm","direct","Securities Company","scr_co","Stock Exchange Name","stk_exg_nm"
"Securities Company Dimension","scr_co_dim","Charter Capital Amount","charter_cptl_amt","true","Currency Amount","decimal(23,2)","","Vốn điều lệ","scr_co.charter_cptl_amt","direct","Securities Company","scr_co","Charter Capital Amount","charter_cptl_amt"
"Securities Company Dimension","scr_co_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — FIMS + SCMS (không filter ThanhTra)","scr_co.src_stm_code WHERE scr_co.src_stm_code IN ('FIMS_SECURITIESCOMPANY','SCMS_CTCK_THONG_TIN')","direct","Securities Company","scr_co","Source System Code","src_stm_code"
"Business Type Dimension","bsn_tp_dim","Business Type Dimension Id","bsn_tp_dim_id","false","Surrogate Key","string","PK","Surrogate key ETL generated","","","Generated","","ETL derived",""
"Business Type Dimension","bsn_tp_dim","Business Type Code","bsn_tp_code","false","Text","string","NK","Mã nghiệp vụ — Classification Value (scheme: FIMS_BUSINESS_TYPE)","","","Classification Value","cv","Classification Code","cl_code"
"Business Type Dimension","bsn_tp_dim","Business Type Name","bsn_tp_nm","true","Text","string","","Tên nghiệp vụ — Classification Value (scheme: FIMS_BUSINESS_TYPE)","cv.cl_nm","direct","Classification Value","cv","Classification Name","cl_nm"
