source_system,source_table,source_column,description,reason,action
FIMS,ANNOUNCE,InvestorData,Dữ liệu nhà đầu tư (payload),Payload field — cần profile nguồn để xác định kiểu dữ liệu và cấu trúc thiết kế,Người thiết kế kiểm tra nguồn và cập nhật thiết kế sau
FIMS,ANNOUNCE,InvestorDataName,Tên dữ liệu nhà đầu tư (payload),Payload field — cần profile nguồn để xác định kiểu dữ liệu và cấu trúc thiết kế,Người thiết kế kiểm tra nguồn và cập nhật thiết kế sau
FMS,BRANCHES,Content,Nghiệp vụ kinh doanh (mô tả hoạt động),Cần xác định có map vào Silver entity riêng hay thêm vào FMS Branches attr,Người thiết kế xem xét và quyết định sau
NHNCK,Departments,Id,PK nguồn của Departments,BK dùng DepartmentCode thay Id — Id không map. Xác nhận out-of-scope hoặc thêm vào SKIP_COLUMNS,Người thiết kế xác nhận
NHNCK,Units,Id,PK nguồn của Units,BK dùng UnitCode thay Id — Id không map. Xác nhận out-of-scope hoặc thêm vào SKIP_COLUMNS,Người thiết kế xác nhận
NHNCK,Organizations,OrganizationReportIds,Multi-value FK đến báo cáo tổ chức,Multi-value FK — cần parsing riêng hoặc tách bảng junction. Out-of-scope T1.,Xem xét thiết kế junction entity trong Tier sau
DCST,THONG_TIN_CONG_TY,(all),Thông tin công ty (CTCK/đại chúng/QLQ),Dữ liệu phái sinh từ nguồn gốc — không thiết kế Silver từ nguồn DCST,Không thiết kế
DCST,NHOM_DANH_MUC,(all),Nhóm danh mục,Reference data set (Classification Value) — không tạo Silver entity. Scheme: DCST_CATALOG_GROUP.,Không thiết kế Silver entity
FMS,LOCATION,(all),Danh mục tỉnh/thành phố của FMS,Map vào Geographic Area (PROVINCE) nhưng không có FK từ bảng FMS nào trỏ vào — out-of-scope T1.,Thiết kế khi có FK từ entity FMS tham chiếu vào LOCATION
FMS,RELATION,(all),Danh mục mối quan hệ cổ đông,Reference data set (Classification Value) — không tạo Silver entity. Scheme: FMS_RELATION_TYPE. Values đã được ref trong ref_shared_entity_classifications.csv.,Không thiết kế Silver entity
ThanhTra,SYS_NGUOI_DUNG,(all),Người dùng hệ thống,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_NHOM_NGUOI_DUNG,(all),Nhóm người dùng,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_NGUOI_DUNG_NHOM,(all),Quan hệ người dùng – nhóm quyền,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_NHAT_KY,(all),Nhật ký hoạt động hệ thống,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_THAM_SO,(all),Tham số cấu hình hệ thống,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_SAO_LUU,(all),Lịch sao lưu tự động,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_NHAT_KY_SAO_LUU,(all),Nhật ký sao lưu dữ liệu,Out-of-scope — bảng hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
ThanhTra,SYS_VAN_BAN_PHAP_QUY,(all),Văn bản pháp quy hệ thống,Out-of-scope — tài liệu pháp quy nội bộ hệ thống không thuộc phạm vi Silver nghiệp vụ.,Không thiết kế
QLRR,risk_indicator_category,id,PK kỹ thuật bảng nguồn,BK dùng category_code (unique globally) thay id — id không map vào Silver.,Out-of-scope
QLRR,risk_alert_config,indicator_type,Phân biệt loại chỉ tiêu (1=hệ thống/2=tự tạo) trước khi gộp,"Sau gộp Risk Indicator, thông tin này capture qua Risk Indicator.Indicator Type Code. Không map lại trên Alert Config.",Đã capture qua entity gộp
QLRR,risk_alert_config,custom_indicator_id,FK đến risk_indicator_custom trước khi gộp,"Sau gộp, đã map vào Risk Alert Config.Risk Indicator Id (ds_indicator_id covers cả 2 loại). HLD T2-02 confirmed.",Đã capture qua Risk Indicator Id sau gộp
QLRR,risk_alert_config,custom_old_value,Giá trị kỳ trước cho chỉ tiêu tự tạo,"Không có trong HLD Tier 2 Silver diagram — out-of-scope. Cột này có thể là ephemeral state tính toán, không có giá trị lưu trữ độc lập.",Out-of-scope
QLRR,risk_alert_config,custom_new_value,Giá trị kỳ này cho chỉ tiêu tự tạo,"Không có trong HLD Tier 2 Silver diagram — out-of-scope. Tương tự custom_old_value.",Out-of-scope
QLRR,risk_alert,indicator_type,Phân biệt loại chỉ tiêu (1=hệ thống/2=tự tạo) trước khi gộp,"Sau gộp Risk Indicator, thông tin này capture qua Risk Indicator.Indicator Type Code. Không map lại trên Alert.",Đã capture qua entity gộp
QLRR,risk_alert,custom_indicator_id,FK đến risk_indicator_custom trước khi gộp,"Sau gộp, đã map vào Risk Alert.Risk Indicator Id. HLD T2-02 confirmed.",Đã capture qua Risk Indicator Id sau gộp
QLRR,permission_group,(all),Nhóm quyền hệ thống QLRR,Out-of-scope — bảng permission hệ thống không thuộc phạm vi Silver nghiệp vụ. Đã chốt trong HLD.,Không thiết kế
QLRR,permission_group_user,(all),Quan hệ người dùng – nhóm quyền,Out-of-scope — bảng permission hệ thống không thuộc phạm vi Silver nghiệp vụ. Đã chốt trong HLD.,Không thiết kế
QLRR,permission_group_indicator,(all),Quan hệ nhóm quyền – chỉ tiêu,Out-of-scope — bảng permission hệ thống không thuộc phạm vi Silver nghiệp vụ. Đã chốt trong HLD.,Không thiết kế
QLRR,risk_report_placeholder_config,(all),Cấu hình placeholder kỹ thuật trong template báo cáo,Out-of-scope — operational/system data không có giá trị nghiệp vụ. Đã chốt trong HLD Tier 2.,Không thiết kế
QLRR,risk_indicator,id,PK kỹ thuật bảng nguồn,BK Silver (Risk Indicator Code) = 'CUS_' + id cho chỉ tiêu tự tạo. id đơn lẻ không map riêng.,Đã capture qua Risk Indicator Code (BK)
