attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Registered Taxpayer Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Organization"" (Involved Party).",,
Registered Taxpayer Code,ID bản ghi đăng ký thuế. BK,Text,false,false,draft,DCST.THONG_TIN_DK_THUE.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.THONG_TIN_DK_THUE,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,,
Full Name,Tên người nộp thuế,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.TEN_NGUOI_NOP,"BCV: ""Organization Name"". Scope: NNT gồm tổ chức/DN/hộ KD — không gắn prefix Organization.",,
Organization Tax Identification Number,Mã số thuế,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MA_SO_THUE,"BCV: ""Organization Tax Identification Number"". Trường liên kết ngầm với DN_RUI_RO_CAO, TCT_BAO_CAO, TCT_TT_CUONG_CHE_NO, TT_XLY_VI_PHAM, TCT_TTCCN_HOA_DON.",,
Charter Capital Amount,Vốn điều lệ,Currency Amount,true,false,draft,DCST.THONG_TIN_DK_THUE.VON_DIEU_LE,"BCV: ""Charter Capital Amount"".",,
Charter Capital Currency Code,Loại tiền vốn điều lệ,Classification Value,true,false,draft,DCST.THONG_TIN_DK_THUE.LOAITIEN_VON_DL_VN,FK target: Currency.Currency Code.,,
Foreign Charter Capital Amount,Vốn điều lệ nước ngoài,Currency Amount,true,false,draft,DCST.THONG_TIN_DK_THUE.SOTIEN_VON_DL_NN,"Nhất quán prefix ""Foreign Charter Capital"".",,
Foreign Charter Capital Currency Code,Loại tiền vốn điều lệ nước ngoài,Classification Value,true,false,draft,DCST.THONG_TIN_DK_THUE.LOAITIEN_VON_DL_NN,FK target: Currency.Currency Code.,,
Business Line Code,Mã ngành nghề kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MA_NGANH,"Nhất quán prefix ""Business Line"".",,
