attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Security Match Log Id,Khóa đại diện cho bản ghi khớp lệnh chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate.,,
Security Match Log Code,Định danh duy nhất bản tin (GUID). BK.,Text,false,false,draft,MDDS.TransLog.Id,BK chính. PK nguồn string (GUID) — khớp tự nhiên với Text.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=MDDS.TransLog,
Security Trading Snapshot Id,FK đến bản tin thông tin giao dịch chứng khoán tương ứng.,Surrogate Key,false,false,draft,MDDS.TransLog.symbol,FK target: Security Trading Snapshot.Security Trading Snapshot Id. Join qua (symbol / trading_date).,,
Symbol,Mã chứng khoán. BK.,Text,false,false,draft,MDDS.TransLog.symbol,Lookup pair: Security Trading Snapshot.Symbol. Pair with Security Trading Snapshot Id. BK nghiệp vụ. Nguồn string — khớp tự nhiên với Text.,,
Trading Date,Ngày giao dịch. BK.,Date,false,false,draft,MDDS.TransLog.tradingdate,BK — grain = (symbol / trading_date / sequence_msg). Nguồn string (dd/mm/yyyy) — ETL cần parse sang Date.,,
Sequence Message,Số thứ tự tăng dần trong ngày — đảm bảo thứ tự xử lý và phát hiện mất gói. BK.,Small Counter,false,false,draft,MDDS.TransLog.sequenceMsg,BK. Nguồn int — khớp tự nhiên với Small Counter. Xem T2-01: cần xác nhận uniqueness scope trong (symbol / trading_date).,,
Match Time,Giờ khớp lệnh (HH:mm:ss) theo giờ máy chủ sở giao dịch. Nhiều tick có thể cùng timestamp trong ATO/ATC (batch matching).,Text,true,false,draft,MDDS.TransLog.formattedTime,Nguồn string (HH:mm:ss) — khớp tự nhiên với Text.,,
Match Direction Code,"Chiều giao dịch chủ động: B=Mua chủ động / S=Bán chủ động / O=Khớp phiên ATO / C=Khớp phiên ATC. B/S trong MDDS là chiều của bên đặt lệnh đối ứng — ngược với hiển thị bảng giá thông thường.",Classification Value,true,false,draft,MDDS.TransLog.lastColor,Scheme: MDDS_MATCH_DIRECTION. Nguồn string — khớp tự nhiên với Classification Value. Xem T2-04: semantics B/S ngược thông thường — document rõ ràng.,MDDS_MATCH_DIRECTION,
Match Price,Giá khớp lệnh (VND — số nguyên không có dấu phẩy).,Currency Amount,true,false,draft,MDDS.TransLog.formattedMatchPrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Match Volume,Khối lượng khớp của lần khớp này.,Small Counter,true,false,draft,MDDS.TransLog.formattedVol,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Price Change Value,Thay đổi của giá khớp so với giá tham chiếu tại thời điểm khớp (+/-).,Currency Amount,true,false,draft,MDDS.TransLog.formattedChangeValue,Nguồn string — ETL cần parse sang decimal. Có thể mang giá trị âm.,,
Change Color,Style hiển thị của giá thay đổi (tăng/giảm/đứng).,Text,true,false,draft,MDDS.TransLog.changeColor,Nguồn string — khớp tự nhiên với Text. Indicator hiển thị UI — denormalized text.,,
Accumulated Volume,Tổng khối lượng khớp tích lũy từ đầu ngày đến thời điểm này (cho mã đó).,Small Counter,true,false,draft,MDDS.TransLog.formattedAccVol,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Accumulated Value,Tổng giá trị khớp tích lũy từ đầu ngày đến thời điểm này (VND). formattedAccVal / formattedAccVol = VWAP tại thời điểm.,Currency Amount,true,false,draft,MDDS.TransLog.formattedAccVal,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Total Buy Volume,Tổng khối lượng mua chủ động (lastColor=B) tích lũy trong ngày cho mã đó.,Small Counter,true,false,draft,MDDS.TransLog.totalBuyVol,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Total Sell Volume,Tổng khối lượng bán chủ động (lastColor=S) tích lũy trong ngày cho mã đó.,Small Counter,true,false,draft,MDDS.TransLog.totalSellVol,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
