attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
AML Enforcement Case Id,Khóa đại diện cho hồ sơ phòng chống rửa tiền.,Surrogate Key,false,true,draft,,,,
AML Enforcement Case Code,Mã hồ sơ. Map từ PK ThanhTra.PCRT_HO_SO.ID.,Text,false,false,draft,ThanhTra.PCRT_HO_SO.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.PCRT_HO_SO,
Case Number,Mã hồ sơ nghiệp vụ (duy nhất).,Text,false,false,draft,ThanhTra.PCRT_HO_SO.MA_HO_SO,,,
Case Name,Tên hồ sơ.,Text,true,false,draft,ThanhTra.PCRT_HO_SO.TEN_HO_SO,,,
Subject Type Code,Loại đối tượng: CA_NHAN / TO_CHUC.,Classification Value,false,false,draft,ThanhTra.PCRT_HO_SO.LOAI_DOI_TUONG,Scheme: TT_PARTY_TYPE.,,
Subject Name,Tên tổ chức/cá nhân liên quan (denormalized).,Text,true,false,draft,ThanhTra.PCRT_HO_SO.TEN_DOI_TUONG,,,
Received Date,Ngày nhận hồ sơ.,Date,true,false,draft,ThanhTra.PCRT_HO_SO.NGAY_NHAN_HO_SO,,,
Business Sector Code,Mảng nghiệp vụ liên quan.,Classification Value,true,false,draft,ThanhTra.PCRT_HO_SO.MANG_NGHIEP_VU_ID,Scheme: TT_BUSINESS_SECTOR.,,
Archive Number,Mã số lưu trữ.,Text,true,false,draft,ThanhTra.PCRT_HO_SO.MA_SO_LUU_TRU,,,
Case Content,Nội dung hồ sơ.,Text,true,false,draft,ThanhTra.PCRT_HO_SO.NOI_DUNG,,,
Case Status Code,Trạng thái hồ sơ.,Classification Value,false,false,draft,ThanhTra.PCRT_HO_SO.TRANG_THAI_ID,Scheme: TT_CASE_STATUS.,,
Responsible Officer Id,FK đến Inspection Officer — lãnh đạo phụ trách.,Surrogate Key,true,false,draft,ThanhTra.PCRT_HO_SO.LANH_DAO_PHU_TRACH,FK target: Inspection Officer.Inspection Officer Id.,,
Responsible Officer Code,Mã cán bộ lãnh đạo phụ trách.,Text,true,false,draft,ThanhTra.PCRT_HO_SO.LANH_DAO_PHU_TRACH,Lookup pair: Inspection Officer.Inspection Officer Code. Pair with Responsible Officer Id.,,
Processing Officer Id,FK đến Inspection Officer — chuyên viên xử lý.,Surrogate Key,true,false,draft,ThanhTra.PCRT_HO_SO.CHUYEN_VIEN_XU_LY,FK target: Inspection Officer.Inspection Officer Id.,,
Processing Officer Code,Mã cán bộ chuyên viên xử lý.,Text,true,false,draft,ThanhTra.PCRT_HO_SO.CHUYEN_VIEN_XU_LY,Lookup pair: Inspection Officer.Inspection Officer Code. Pair with Processing Officer Id.,,
